id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
,#country+name,#country+iso3,#geo+lat,#geo+lon,,,#event+displacement_type,#total,#affected+displaced,#date+displacement,#date+displacement+start,#date+displacement+end,#date+year,,#event+name,,,#date+event+start,#date+event+end,,,#event+type,#event+subtype,,,,,,,,,#date+created,#description,#meta+url,#cause
193339,Palestine,PSE,31.43317,34.37793,"[31.43317, 34.37793]",Recommended figure,Conflict,total,60056,2025-09-23,2025-09-21,2025-09-23,2025,30896,Palestine:  International armed conflict (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Site Management Cluster - Palestine,https://www.cccmcluster.org/sites/default/files/2025-09/Population%20Movement%20Monitoring%20-%20Flash%20Update%2030%20-%2020%20-23%20%20Sep%20.pdf,"Gaza Strip, Palestinian Territories","31.43317, 34.37793",Point,Origin,Displacement without preventive evacuations reported,2025-09-24T14:02:49.949648Z,"Palestine: 60,056 displacements, 21 September - 23 September. International armed conflict (iac) resulted in a total of 60,056 displacements in the Gaza Strip, Palestinian Territories between 21 and 23 September, according to the Site Management Cluster Palestine.",https://www.cccmcluster.org/sites/default/files/2025-09/Population%20Movement%20Monitoring%20-%20Flash%20Update%2030%20-%2020%20-23%20%20Sep%20.pdf,Conflict
193324,Palestine,PSE,31.43317,34.37793,"[31.43317, 34.37793]",Recommended figure,Conflict,total,81621,2025-09-20,2025-09-18,2025-09-20,2025,30896,Palestine:  International armed conflict (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Site Management Cluster - Palestine,https://www.cccmcluster.org/sites/default/files/2025-09/Population%20Movement%20Monitoring%20-%20Flash%20Update%2029%20-%2017%20-20%20%20Sep.pdf,"Gaza Strip, Palestinian Territories","31.43317, 34.37793",Point,Origin,Displacement without preventive evacuations reported,2025-09-24T13:23:37.831971Z,"Palestine: 81,621 displacements, 18 September - 20 September. International armed conflict (iac) resulted in a total of 81621 displacements in the Gaza Strip, Palestinian Territories between 18 and 20 September, according to the Site Management Cluster Palestine.",https://www.cccmcluster.org/sites/default/files/2025-09/Population%20Movement%20Monitoring%20-%20Flash%20Update%2029%20-%2017%20-20%20%20Sep.pdf,Conflict
193321,Palestine,PSE,31.43317,34.37793,"[31.43317, 34.37793]",Recommended figure,Conflict,total,55589,2025-09-17,2025-09-15,2025-09-17,2025,30896,Palestine:  International armed conflict (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Site Management Cluster - Palestine,https://www.cccmcluster.org/sites/default/files/2025-09/Population%20Movement%20Monitoring%20-%20Flash%20Update%2028%20-%2014%20-17%20%20Sep.pdf,"Gaza Strip, Palestinian Territories","31.43317, 34.37793",Point,Origin,Displacement without preventive evacuations reported,2025-09-24T13:13:37.247411Z,"Palestine: 55,589 displacements, 15 September - 17 September. A total of 55,589 people were displaced due to international armed conflict (iac) between 15 and 17 September in Gaza Strip, Palestinian Territories, according to clusters and consortias.",https://www.cccmcluster.org/sites/default/files/2025-09/Population%20Movement%20Monitoring%20-%20Flash%20Update%2028%20-%2014%20-17%20%20Sep.pdf,Conflict
193320,Palestine,PSE,31.43317,34.37793,"[31.43317, 34.37793]",Recommended figure,Conflict,total,68826,2025-09-14,2025-09-11,2025-09-14,2025,30896,Palestine:  International armed conflict (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Site Management Cluster - Palestine,https://www.cccmcluster.org/sites/default/files/2025-09/Population%20Movement%20Monitoring%20-%20Flash%20Update%2027%20-%20September%2010%20-14%20.pdf,"Gaza Strip, Palestinian Territories","31.43317, 34.37793",Point,Origin,Displacement without preventive evacuations reported,2025-09-24T13:07:34.880368Z,"Palestine: 68,826 displacements, 11 September - 14 September. International armed conflict (iac) resulted in a total of 68,826 people being displaced in Gaza Strip, Palestinian Territories between 11 September and 14 September, according to Shelter Cluster Palestine.",https://www.cccmcluster.org/sites/default/files/2025-09/Population%20Movement%20Monitoring%20-%20Flash%20Update%2027%20-%20September%2010%20-14%20.pdf,Conflict
191918,Palestine,PSE,31.43317,34.37793,"[31.43317, 34.37793]",Recommended figure,Conflict,total,25333,2025-09-10,2025-09-08,2025-09-10,2025,30896,Palestine:  International armed conflict (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Site Management Cluster - Palestine,https://www.cccmcluster.org/sites/default/files/2025-09/Population%20Movement%20Monitoring%20-%20Flash%20Update%2026%20-%2007%20-10%20%20Sep%202.pdf,"Gaza Strip, Palestinian Territories","31.43317, 34.37793",Point,Origin,Displacement without preventive evacuations reported,2025-09-12T07:52:58.272089Z,"Palestine: 25,333 displacements, 08 September - 10 September. A total of 25333 people were displaced due to international armed conflict (iac) on 8 September in Gaza Strip, Palestinian Territories, according to Shelter Cluster Palestine",https://www.cccmcluster.org/sites/default/files/2025-09/Population%20Movement%20Monitoring%20-%20Flash%20Update%2026%20-%2007%20-10%20%20Sep%202.pdf,Conflict
191541,Palestine,PSE,31.43317,34.37793,"[31.43317, 34.37793]",Recommended figure,Conflict,total,20893,2025-09-07,2025-09-01,2025-09-07,2025,30896,Palestine:  International armed conflict (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Site Management Cluster - Palestine,https://www.cccmcluster.org/sites/default/files/2025-09/Population%20Movement%20Monitoring%20-%20Flash%20Update%2025%20-%2031%20Aug%20-%2007%20Sep.pdf,"Gaza Strip,  Palestinian Territories","31.43317, 34.37793",Point,Origin,Displacement without preventive evacuations reported,2025-09-08T08:29:47.544096Z,"Palestine: 20,893 displacements, 01 September - 07 September. International armed conflict (iac) resulted in a total of 20,893 people being displaced in Gaza Strip, Palestinian Territories between 1 September and 7 September, according to Shelter Cluster Palestine",https://www.cccmcluster.org/sites/default/files/2025-09/Population%20Movement%20Monitoring%20-%20Flash%20Update%2025%20-%2031%20Aug%20-%2007%20Sep.pdf,Conflict
192631,Palestine,PSE,32.318062,35.056252,"[32.318062, 35.056252]",Recommended figure,Conflict,total,106,2025-09-01,2025-09-01,2025-09-01,2025,31145,Palestine: International armed conflict (IAC) - West Bank - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA),https://reliefweb.int/report/occupied-palestinian-territory/humanitarian-situation-update-320-west-bank-enarhe,"Nur Shams Refugee camp, Tulkarm Governorate, Judea and Samaria, Palestinian Territories","32.318062, 35.056252",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2025-09-16T01:18:37.971416Z,"Palestine: 106 displacements, 01 September - 01 September. A total of 21 households were displaced due to communal violence on 1 September in Nur Shams Refugee camp, Tulkarm Governorate, according to Office for the Coordination of Humanitarian Affairs (OCHA).",https://reliefweb.int/report/occupied-palestinian-territory/humanitarian-situation-update-320-west-bank-enarhe,Conflict
191547,Palestine,PSE,32.318062,35.056252,"[32.318062, 35.056252]",Recommended figure,Conflict,approximately,106,2025-09-01,2025-09-01,2025-09-01,2025,31145,Palestine: International armed conflict (IAC) - West Bank - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA),https://reliefweb.int/report/occupied-palestinian-territory/humanitarian-situation-update-320-west-bank,"Nur Shams Refugee camp, Tulkarm Governorate, Judea and Samaria, Palestinian Territories","32.318062, 35.056252",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2025-09-08T09:03:42.762557Z,"Palestine: 106 displacements (evacuated), 01 September - 01 September. According to Office for the Coordination of Humanitarian Affairs (OCHA), approximately 21 households (106 people) were ordered to evacuate by Israeli Forces in Nur Shams Refugee camp, Tulkarm Governorate, Palestinian Territories due to international armed conflict (iac) on 1 September",https://reliefweb.int/report/occupied-palestinian-territory/humanitarian-situation-update-320-west-bank,Conflict
191540,Palestine,PSE,31.43317,34.37793,"[31.43317, 34.37793]",Recommended figure,Conflict,total,23319,2025-08-31,2025-08-28,2025-08-31,2025,30896,Palestine:  International armed conflict (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Site Management Cluster - Palestine,https://www.cccmcluster.org/sites/default/files/2025-08/Population%20Movement%20Monitoring%20Flash%20Update%20-%2027-31%20Aug%202025%20_1.pdf,"Gaza Strip, Gaza Strip, Palestinian Territories","31.43317, 34.37793",Point,Origin,Displacement without preventive evacuations reported,2025-09-08T08:23:43.172328Z,"Palestine: 23,319 displacements, 28 August - 31 August. According to Shelter Cluster Palestine, a total of 23,319 people were displaced in Gaza Strip, Gaza Strip, Palestinian Territories due to international armed conflict (iac) between 28 August and 31 August.",https://www.cccmcluster.org/sites/default/files/2025-08/Population%20Movement%20Monitoring%20Flash%20Update%20-%2027-31%20Aug%202025%20_1.pdf,Conflict
192638,Palestine,PSE,31.95352,35.300442,"[31.95352, 35.300442]",Recommended figure,Conflict,total,17,2025-08-27,2025-08-27,2025-08-27,2025,33204,Palestine: Communal violence - Ramallah - 03/06/2025,,,2025-06-03,2025-08-27,,,,,,Office for the Coordination of Humanitarian Affairs (OCHA),https://reliefweb.int/report/occupied-palestinian-territory/humanitarian-situation-update-320-west-bank-enarhe,"Taybeh, West Bank, Palestinian Territories","31.95352, 35.300442",County/City/town/Village/Woreda (ADM3),Origin,Displacement without preventive evacuations reported,2025-09-16T01:24:16.695265Z,"Palestine: 17 displacements, 27 August - 27 August. Communal violence resulted in a total of 17 people being displaced in Taybeh, West Bank, Palestinian Territories on 27 August, according to Office for the Coordination of Humanitarian Affairs (OCHA).",https://reliefweb.int/report/occupied-palestinian-territory/humanitarian-situation-update-320-west-bank-enarhe,Conflict
